regime,resource,coupling,role,source,destination,file_count,bytes
only_dephasing,wigner,gaussian_T,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_dephasing_wigner_gauss_T,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/wigner/gaussian_T/full_scan,310,3267791
only_dephasing,wigner,cosine_omega,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_dephasing_wigner_cos_omega,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/wigner/cosine_omega/full_scan,310,3250048
only_dephasing,coherence,gaussian_zeta,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_dephasing_coherence_gauss_zeta,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/coherence/gaussian_zeta/full_scan,310,6076979
only_dephasing,coherence,gaussian_zeta,corrected_coherence,/Users/cesar/Research/time-dependent-coupling-open/results/correct_coerence/only_dephasing_coherence_gauss_zeta,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/coherence/gaussian_zeta/corrected_coherence,107,537740
only_dephasing,coherence,gaussian_T,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_dephasing_coherence_gauss_T,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/coherence/gaussian_T/full_scan,310,6055852
only_dephasing,coherence,gaussian_T,corrected_coherence,/Users/cesar/Research/time-dependent-coupling-open/results/correct_coerence/only_dephasing_coherence_gauss_T,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/coherence/gaussian_T/corrected_coherence,107,536056
only_dephasing,coherence,cosine_omega,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_dephasing_coherence_cos_omega,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/coherence/cosine_omega/full_scan,610,11805580
only_dephasing,coherence,cosine_omega,corrected_coherence,/Users/cesar/Research/time-dependent-coupling-open/results/correct_coerence/only_dephasing_coherence_cos_omega,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/coherence/cosine_omega/corrected_coherence,207,1068215
only_dephasing,magic_W_half,gaussian_zeta,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_dephasing_magic_gauss_zeta,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/magic_W_half/gaussian_zeta/full_scan,310,5889734
only_dephasing,magic_W_half,gaussian_zeta,W_half,/Users/cesar/Research/time-dependent-coupling-open/results/mixed_state_magic_witnesses/mixed_magic1/derived/lista_simulacoes_open_system/open_system_sims1/only_dephasing_magic_gauss_zeta,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/magic_W_half/gaussian_zeta/W_half,202,13915901
