t,sz_const,nb_const,sz_const_aberto,nb_const_aberto
14.542713567839197,0.016094993462394284,4.991929537524463,-0.1242770731987984,1.2079517545649334
14.78894472361809,-0.015524614920764257,5.007738905445449,-0.13253839337972406,1.18265235593429
15.035175879396986,-0.02061894006098705,5.0102856316931,-0.14101675401245878,1.1580744998714705
15.28140703517588,0.009756186466544648,4.995097632053384,-0.1487447895108147,1.13372291746093
15.527638190954775,0.019648848117135315,4.990150864797171,-0.154924622594894,1.109198333602087
15.773869346733669,-0.03178035705808299,5.015865030897535,-0.15917718496916247,1.0843182818410084
16.020100502512562,-0.08798203519765559,5.043965433422501,-0.16172717628739725,1.0592030338223712
16.266331658291456,-0.056180417299553566,5.028064187869824,-0.16337684229075464,1.0342550202791945
16.512562814070353,0.04818526028732453,4.975880912412826,-0.16522674714483218,1.0100138350596763
16.758793969849247,0.09722218414260961,4.951362013760759,-0.16825985667147703,0.986947439707021
17.00502512562814,0.02873503014002969,4.985605153975974,-0.17299006895599592,0.9652804812282063
17.251256281407034,-0.052356371753725935,5.026150418074463,-0.1793326777947447,0.9449364996098497
17.49748743718593,-0.029199016655560208,5.014571303614071,-0.18672759379953827,0.9256063376293436
17.743718592964825,0.04144583125809292,4.979248442682521,-0.19442466193947588,0.9068948102518215
17.98994974874372,0.021975223926175926,4.98898330931006,-0.20178464477731559,0.8884713927585585
18.236180904522612,-0.07007582681242094,5.035008397577173,-0.2084685007717048,0.8701619732521374
18.48241206030151,-0.08055753697449072,5.040248815492345,-0.214457013800839,0.8519545696757584
18.728643216080403,0.022214468157671002,4.988862375696844,-0.21992742558359923,0.8339343488020716
18.974874371859297,0.08623392813944504,4.956852208413252,-0.225077932559788,0.8161945870324187
19.22110552763819,0.025335245953732422,4.987301112150656,-0.23000623057072267,0.7987765869361161
19.467336683417088,-0.04964473309367925,5.024790664256955,-0.23470650352376463,0.7816695831228203
19.71356783919598,-0.03624145544723385,5.018088587955308,-0.23917233481174238,0.7648629117652793
19.959798994974875,-0.001638842690805993,5.000786844038683,-0.24352515799156485,0.7484094225186656
20.20603015075377,-0.02398848503392485,5.011961227613032,-0.2480697959529033,0.7324512493125586
20.452261306532666,-0.03877320453433378,5.0193531497087145,-0.2532216711957359,0.7171815545093136
20.69849246231156,0.02174600073284204,4.9890931093650766,-0.2593287641691075,0.7027552842826446
20.944723618090453,0.08303964340875741,4.95844585026352,-0.26647868631175275,0.6891948546097587
21.190954773869347,0.05675822391990602,4.971586122192856,-0.2743979207519603,0.6763437488338215
21.43718592964824,-0.013950739812579983,5.00694016619477,-0.28250700535805584,0.6638982905128068
21.683417085427138,-0.05058191034824722,5.025255313551645,-0.2901170198739416,0.6515083766644618
21.92964824120603,-0.057739514290401424,5.028833677568077,-0.2966824990872627,0.638903519980438
22.175879396984925,-0.057560613477656675,5.028743789166524,-0.30200033278966454,0.6259890420961729
22.42211055276382,-0.02746931763848896,5.0136977032144765,-0.3062734152089159,0.6128730746278958
22.668341708542716,0.028568966448879348,4.985678123104528,-0.31002236645867803,0.5998178863686924
22.91457286432161,0.054413856326873775,4.972755228594958,-0.3138933876382406,0.587141169079332
23.160804020100503,0.02897905414026469,4.985472176352562,-0.31844501737945086,0.575109391967358
23.407035175879397,-0.007104199125153112,5.003513365922369,-0.32399089614854254,0.5638614758958155
23.653266331658294,-0.020552265978793203,5.010236959280823,-0.330540603234747,0.5533827819262136
23.899497487437188,-0.012777028469260676,5.006348900667227,-0.3378381464641883,0.5435279432070725
24.14572864321608,0.005942325907443311,4.99698878373001,-0.34546684144350387,0.5340758898408884
24.391959798994975,0.01876147180038752,4.990578771078788,-0.35297788760759097,0.5247951959761774
24.63819095477387,0.00494705672349123,4.997485538986207,-0.3600047071076062,0.5155007731893727
24.884422110552766,-0.02932633659646967,5.014621796100136,-0.36633803486627237,0.5060897822816884
25.13065326633166,-0.04947180702118867,5.0246940918629015,-0.3719512472504368,0.4965520911118768
25.376884422110553,-0.03341887117290584,5.016667184598206,-0.376978536386748,0.4869571974103137
25.623115577889447,0.0060415221736579506,4.996936548706489,-0.38165925479458035,0.47742477925833565
25.869346733668344,0.037350178627064,4.9812817813971915,-0.38626855117725195,0.468089213169184
26.115577889447238,0.03657048165848982,4.9816711909489575,-0.39105501860185654,0.4590684374875147
26.36180904522613,0.006420894666995065,4.996745545676751,-0.39619954839035326,0.45044405563827966
26.608040201005025,-0.02542910557107115,5.012670107207361,-0.401798452831946,0.4422539067356987
26.854271356783922,-0.03324586786423343,5.016578049960657,-0.4078638000032405,0.43449330731153973
27.100502512562816,-0.01677539917612499,5.008342377434787,-0.4143302986762993,0.42711948802093047
27.34673366834171,0.005159917046268342,4.997374281370043,-0.42106256434167616,0.4200561086812903
27.592964824120603,0.01749146922225104,4.991208067573953,-0.42786539991943506,0.4131991593858946
27.8391959798995,0.019297396004136096,4.990304666738003,-0.43450592766762197,0.40642858110552715
28.085427135678394,0.01445432956813608,4.992725762792465,-0.4407545635156934,0.39962891299166425
28.331658291457288,0.0002230290954310756,4.999840976165863,-0.4464417547607968,0.3927172130924336
28.57788944723618,-0.02670754906385759,5.0133058287027685,-0.45151465315393446,0.38567024656646043
28.824120603015075,-0.05366936230561698,5.026786299121162,-0.45607051017994876,0.37853949187050034
29.070351758793972,-0.053968920442884885,5.026935642218054,-0.46034724999315774,0.371444618178655
29.316582914572866,-0.01565897893480807,5.007780194552643,-0.4646662445658603,0.3645435190718653
29.56281407035176,0.03630131156709034,4.981799643577408,-0.4693416425567981,0.35798657996495525
